target_index,tic_id,tic_name,ads_search_query,simbad_object_query,simbad_coordinate_query,ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day,recommended_next_crossmatch,literature_search_name,simbad_main_id,literature_search_aliases,mast_hip,mast_tyc,mast_gaia,mast_twomass,mast_kic
1,280310048,TIC 280310048,"""TIC 280310048""",TIC 280310048,114.82521700 5.22493600,114.825217,5.224936,285.93,0.3332,-0.658,6583.95,7.704086765,577.3948214,1315.090202,3.15230846780106,180,23.6423135085079,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Procyon,alf CMi,Procyon | Procyon A | HD 61421 | HR 2943 | 10 CMi | alf CMi | alf CMi A | HIP 37279 | TYC 187-2184-1 | 2MASS J07391805+0513298 | TIC 280310048 | TIC 471011543,37279,0187-02184-1,,07391805+0513298,
2,267211065,TIC 267211065,"""TIC 267211065""",TIC 267211065,6.43511200 -77.25424600,6.435112,-77.254246,133.78,2.82,1.372,5839.18,4.186106801,204.8813023,480.9188183,12.1673046945684,22,11.1533626366877,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 2151,bet Hyi,HD 2151 | HR 98 | bet Hyi | HIP 2021 | TYC 9350-1626-1 | Gaia DR3 4683897617110115200 | Gaia DR2 4683897617108299136 | 2MASS J00254416-7715157 | TIC 267211065,2021,9350-01626-1,,00254416-7715157,
3,43255143,TIC 43255143,"""TIC 43255143""",TIC 43255143,250.32177800 31.60275000,250.321778,31.60275,92.63,2.806,1.278,5795.47,8.218382866,199.120359,468.301235,49.1311614654459,22,45.0368980099921,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 150680,zet Her,HD 150680 | HR 6212 | 40 Her | zet Her | HIP 81693 | 2MASS J16411728+3136093 | TIC 43255143,81693,2582-03158-1,,16411728+3136093,
4,51735845,TIC 51735845,"""TIC 51735845""",TIC 51735845,190.41516840 -1.44929738,190.4151684,-1.449297385,84.53,2.73969,1.873,7146.95,9.476897224,186.1142065,416.0853256,41.9399319559321,20,34.9499432966101,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Porrima,gam Vir,Porrima | HD 110379J | HD 110379 | HR 4825 | 29 Vir | gam Vir | gam Vir A | 29 Vir A | HIP 61941 | TYC 4949-1120-1 | Gaia DR3 3683687763520080384 | Gaia DR2 3683687763520080384 | 2MASS J12413962-0126580 | TIC 51735845,61941,4949-01120-2,3683687763520080384,12413962-0126580,
5,399665349,TIC 399665349,"""TIC 399665349""",TIC 399665349,72.46004322 6.96127478,72.46004322,6.961274785,124.6,3.18465,1.6,6398.0,3.886819767,179.9151705,412.6498824,10.762989118387,10,4.48457879932794,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Tabit,pi.03 Ori,Tabit | HD 30652 | HR 1543 | 1 Ori | pi.03 Ori | HIP 22449 | TYC 96-1462-1 | Gaia DR3 3288921720025503360 | Gaia DR2 3288921720024442496 | 2MASS J04495040+0657409 | TIC 399665349,22449,0096-01462-1,3288921720024442496,04495040+0657409,
6,38511251,TIC 38511251,"""TIC 38511251""",TIC 38511251,55.81207850 -9.76338199,55.8120785,-9.763381987,110.58,3.51773,1.619,5037.0,4.166630348,174.4356021,425.1712058,26.3340766189593,10,10.9725319245664,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Rana,del Eri,Rana | HD 23249 | HR 1136 | del Eri | 23 Eri | HIP 17378 | TYC 5303-1320-1 | Gaia DR3 5164120762333028736 | Gaia DR2 5164120762332790528 | 2MASS J03431490-0945490 | TIC 38511251,17378,5303-01320-1,5164120762332790528,03431490-0945490,
7,460067868,TIC 460067868,"""TIC 460067868""",TIC 460067868,266.61467730 27.72061094,266.6146773,27.72061094,119.05,3.40843,1.511,5559.0,3.221024043,161.750436,384.517887,14.2393941116107,9,5.33977279185401,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 161797,mu.01 Her,HD 161797 | HD 161797A | HR 6623 | mu. Her | 86 Her | mu.01 Her | mu. Her A | HIP 86974 | TYC 2085-3062-1 | Gaia DR3 4594497769766809216 | Gaia DR2 4594497769763697792 | 2MASS J17462752+2743142 | TIC 460067868,86974,2085-03062-1,4594497769763697792,17462752+2743142,
8,150226696,TIC 150226696,"""TIC 150226696""",TIC 150226696,143.21432590 51.67728891,143.2143259,51.67728891,74.15,3.17886,1.97,6182.0,8.473119917,159.3820141,368.7059212,72.0631084940679,9,27.0236656852755,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 82328,tet UMa,HD 82328 | HR 3775 | tet UMa | 25 UMa | HIP 46853 | TYC 3432-1451-1 | Gaia DR3 1018776176872261248 | Gaia DR2 1018776176871826048 | 2MASS J09325151+5140384 | TIC 150226696,46853,3432-01451-1,1018776176871826048,09325151+5140384,
9,155842257,TIC 155842257,"""TIC 155842257""",TIC 155842257,326.76015760 -16.12733288,326.7601576,-16.12733288,73.3761,2.85,2.014,7162.0,8.65986,154.3773386,344.9805489,54.9615299259342,8,18.3205099753114,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Deneb Algedi,del Cap,Deneb Algedi | HD 207098 | HR 8322 | del Cap | 49 Cap | HIP 107556 | TYC 6363-1044-1 | Gaia DR3 6838311796136238976 | 2MASS J21470244-1607382 | TIC 155842257,107556,6363-01044-1,6838311796135212800,21470244-1607382,
10,341149986,TIC 341149986,"""TIC 341149986""",TIC 341149986,238.78567630 -63.43072507,238.7856763,-63.43072507,81.24,2.83,2.152,7107.54,6.893758109,152.7102874,341.8059951,36.821015754702,8,12.273671918234,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 141891,bet TrA,HD 141891 | HR 5897 | bet TrA | HIP 77952 | TYC 9027-5712-1 | Gaia DR3 5826168461855385472 | Gaia DR2 5826168461827543168 | 2MASS J15550857-6325507 | TIC 341149986,77952,9027-05712-1,5826168461827543168,15550857-6325507,
